,Unnamed: 0,question_id,question,answer,section,number,company_name,company_id,version
0,0,1,"Describe your Product Management Organization. [Please provide any associated documentation, i.e., Organization Chart, Roles, Responsibilities & Experience.]","Product management has always ultimately been led by the chief officers. They bring in market feedback and coordinate with sales and marketing. The director of product"" has been managing IT support and product engineering. the director of product coordinates the collection of feedback from existing customer through the it/product support infastructure. Weve never had anyone solely dedicated to true product management. Just this year weve hired a product specialist and established an IT manager and support team in an effort to allow for some time dedicated toward product management. We have two software development managers, two internal QA analysts, and 4 remote development teams at an average size of 3 developers.",Product and Organization Overview,1,A SaaS Co.,1,R03.3
1,1,2,"Describe your Requirements Management Process. [Include all phases, ideation through selection, prioritization, and execution.]","Never had a formalized process. Ultimately, enhancements and bugs often come from the IT/product support processes. This may be from internal or external customer requests. Those requests are documented in the development backlogs. New features can come through the IT/product support channel, or from sales or the executive officers. All epics were listed on an internal ""product roadmap"" and the piorities roughly assigned. When development was ready for the next epic to begin analyzing, the director of product would work with the executive team and development mangers to determine if the next priority was the correct next item. Then, it would be mapped out into the next sprint(s) and the development managers would take over with development, testing, and delivery. Upon delivery, functionality is communicated with any applicable stakeholders.",Product and Organization Overview,2,A SaaS Co.,1,R03.3
2,2,3,When were the last changes made to the Requirements Management Process?,"Its not a well defined process, so its been somewhat fluid in nature. As feedback on the process was given, the process was adjusted.",Product and Organization Overview,3,A SaaS Co.,1,R03.3
3,3,4,Please provide an overview of your short- and long-term Product Roadmap.,The yearly and quarterly roadmap as well as epic backlogs can be shared. There are 3 main applications with 2 minor/new applications which each have their own roadmap.,Product and Organization Overview,4,A SaaS Co.,1,R03.3
4,4,5,"Where do ideas for new features/enhancements come from? [Are they driven by Customers, Sales/Marketing, Technology, etc.?","As mentioned in point 1/2 above, they come from all of those areas. Customers make requests through customer support, account managers and technical support. The technology team often has network and security changes that are requested as well as support mitigation requests. Sales and the executive team bring the request from the field as well as their vision of the future direction/needs.",Product and Organization Overview,5,A SaaS Co.,1,R03.3
5,5,6,Are security considerations included in Feature and Roadmap planning?,"Yes, in the past it had been mostly driven by external audit findings. Now, we have more tools and plans in place from a technology standpoint.",Product and Organization Overview,6,A SaaS Co.,1,R03.3
6,6,7,"What metrics/analytics are in place to measure customer feature use, engagement, satisfaction, etc.?","We have audit logging in place, but its rarely been used to measure customer behavior. For much of our current volume today, we are just the API services backend that is plugged into our integration partners platforms. As such, there hasnt been a huge focus on the cusomter engagement in our own interfaces. With our end customer platform, processing.network, we have monitored and analyzed a number of metrics: registrations vs loads, which tranfer types are chosen based on pricing, etc.",Product and Organization Overview,7,A SaaS Co.,1,R03.3
7,7,8,How do you describe Customer Satisfaction Levels today?,"Based on the feedback we receive, average customer satisfaction is relatively high. Most frustration comes from lack of training or poor/incomplete integrations done by integration partners.",Product and Organization Overview,8,A SaaS Co.,1,R03.3
8,8,9,What are your most common customer complaints?,"Most common complaints are when the are unable to load a card, dont know how to use a card, or about fees that may be incurred.",Product and Organization Overview,9,A SaaS Co.,1,R03.3
9,9,10,What are your most highly used and liked features?,"Our load function is really our main feature on the issuing side. For the end customer, we have a majority of customers that just use the debit card. Many utilize our IVR for support, balance checks, PIN changes, etc. About 20% of our end customers use our online banking platform for additional transfer options or account management.",Product and Organization Overview,10,A SaaS Co.,1,R03.3
10,10,11,What is your release plan or timeline?,We release on Tuesday nights. Each project roughly follows a two week sprint cycle but can adapt to shorter or longer cycles based on the epic/requirements. Items are released in the next window as soon as all testing is completed and reviews/approvals completed.,Product and Organization Overview,11,A SaaS Co.,1,R03.3
11,11,12,How are releases managed?,"We typically release per sprint although occasionally due to testing or urgent requests, multiple sprints will be merged into a single release.",Product and Organization Overview,12,A SaaS Co.,1,R03.3
12,12,13,How do you determine scope for a release?,"Most often a release is synonymous to a sprint. Its dependent on the impactfulness or co-dependancy of a particular function or epic. Usually if an epic requires more then one sprint, we release each sprint seperately and use permissions/configurations to prevent unintended impact until the entirety of the epic is released.",Product and Organization Overview,13,A SaaS Co.,1,R03.3
13,13,14,"What is your revenue model for the product? [Subscription based, one time purchase, Freemium, support fees, etc.]","There is no revenue model directly tied to the technology currently. Revenue is transactional fees incurred by the middle or end customer. The technology is the tool that enables customers to perform transactions and get the support they need. Although, we do use the technology to influence end customer behavior to encourage use of more profitable transaction options (cards, instant transfer, etc.) while still supporting the applicable free options.",Product and Organization Overview,14,A SaaS Co.,1,R03.3
14,14,15,Do you conduct Alpha/Beta tests?,We have on a very limited basis around different fee structures but not really from product usage standpoint.,Product and Organization Overview,15,A SaaS Co.,1,R03.3
15,15,16,How do you onboard new Product team members?,"We have a small team internally with very low turnover so there isnt much onboarding. Developers are all third-party organization that manage turnover and cross training. When we do bring on new individuals, we start with a high level product design training. Then we introduce them to our processes and they work closely with their manager on any questions.",Product and Organization Overview,16,A SaaS Co.,1,R03.3
16,16,17,What would be your investment priorities for a capital infusion?,"It depends on the direction we want to go. If we are going to continue to focus on being a program manger, then we would want to invest in sales/marketing and relationship managers. Our technology already meets the needs of our current space and can grow and adapt into the additional requirements of adjacent use cases. If we want to move more towards being a service provider we would need to invest in a few priorities. We would need a dedicated product team to drive product, additional development resources to enhance the technologies to be designed for better scalability, and sales/marketing to chase the ""new"" market.",Architecture and Hosting,17,A SaaS Co.,1,R03.3
17,17,18,"Please describe current state architecture at a high level. Please include any descriptive system documentation, schematics and pattern standards.","We are currently using Dell SonicWall as our boundary device.  We have different subnets for web/application servers, databases, and ""internal"" servers.  ACLs are in place for communication between the different subnets.
We currently have 2 physical connections (Cisco devices) to/from PULSE supporting partner service integration.
Backups are stored on Synology devices and synchronized to an alternate data center (DC).
Computing Environment:
Data Center
Cloud
Hybrid Cloud
Multi-Cloud
Hosting:
On-Premise
Colocation Facility
AWS Cloud
Azure Cloud
GCP Cloud
Other hosting provider:
Click or tap here to enter your response.
Please list front-end stack components:
HTML, CSS, Javascript
Please list back-end stack components:
Java, PHP, IIS, Tomcat
Please list system database technologies: [ex: PostGres, Maria, S3,SQL Server,
Oracle
Please list service integrations:
WorldPay, PULSE
Please describe tenancy models for system databases:
single tenancy",Architecture and Hosting,18,A SaaS Co.,1,R03.3
18,18,19,Please describe future state plans for current products within scope of the assessment.,"Our plan is to move from a colocated data center to Oracle Cloud Infrastructure (OCI). Initially stacks will remain the same, but leveraging the cloud service offering where applicable.  Future growth will be into API gateways, WAF, and serverless functions.",Architecture and Hosting,19,A SaaS Co.,1,R03.3
19,19,20,What are major areas of concern with the current state architecture?,"For example, performance, security, scalability, resilience, extensibility.
redundancy, scalability and resiliency",Architecture and Hosting,20,A SaaS Co.,1,R03.3
20,20,21,"What Design Principles and Patterns are applied? [Examples: SOLID, Cloud vs On Prem, Cloud Native, Cloud Agnostic, SPA, PWA, Mobile Friendly/Mobile First, Serverless, Microservices, Caching, Event Handling, Redundancy, User Experience]","Currently: On-prem and User Experience
Future: Cloud adoption, serverless, API Gateway, WAF, event-driven, redundancy",Architecture and Hosting,21,A SaaS Co.,1,R03.3
21,21,22,How are architecture level decisions made?,Decisions are made by the Systems Engineer with input from the product and development teams.,Architecture and Hosting,22,A SaaS Co.,1,R03.3
22,22,23,Are security considerations included in architectural decisions?,"Yes, PCI compliance and zero trust are considerations",Architecture and Hosting,23,A SaaS Co.,1,R03.3
23,23,24,What are the main factors considered when making changes to existing architecture?,"Security, stability, performance, impact to customer",Architecture and Hosting,24,A SaaS Co.,1,R03.3
24,24,25,What are typical loads placed upon the system?,Not sure how to answer this. Many different ways on each platform. To be discussed.,Architecture and Hosting,25,A SaaS Co.,1,R03.3
25,25,26,Have you established performance and load requirements?,Not specifically. We monitor if transaction response times get slow but we have never established load testing with any baselines.,Architecture and Hosting,26,A SaaS Co.,1,R03.3
26,26,27,What are stability and availability requirements?,"We do maintenance in a set window on Tuesday nights. Otherwise we are typically up all the time. No specific SLAs other than the bank which is 3 nines if I remember correctly. Nothing that weve come up against. Pulse also requires a certain amount of uptime but also nothing that we come up against. Otherwise, its just customer perception/expectation of uptime/stability but nothing that was officially contracted.",Architecture and Hosting,27,A SaaS Co.,1,R03.3
27,27,28,What SLAs are in place?,"We have sponsor bank and Pulse SLAs for us to meet, but no commited SLAs to customers.",Architecture and Hosting,28,A SaaS Co.,1,R03.3
28,28,29,Describe the users of the system. [Who are they; what are their roles; how do they access; when do they typically work; what devices do they use?],"We have administrator users (Our employees) who do operational functions in our web portal. This is very few users and they access from desktops during business hours. Then we have our agents who access our web portals. There are a few hundred agent users which access from desktops mostly during business hours, but it is 24/7 for some of them. Some agents use our SFTP for transmitting files for loading card. The vast majority of our loads are through API integrations. Finally, our end cardholders. There are 80,000 new cardholders a month. Many just use their cards and dont use our system. There is heavy usage of our IVR which allows them to check balances, change PINs, etc or contact support. It is 24/7 from a technology standpoint but we only have support reps from 7-7 for normal cardholder questions. We do have 24/7 agent support and critical card issues (lost card). Our cardholder web portal has about 15,000 new users a month, and is used 24/7 by cardholders.",Architecture and Hosting,29,A SaaS Co.,1,R03.3
29,29,30,"Describe your data processing requirements.[Examples include online, batch, asynch, reporting, analytics, etc.]","Online, batch, and reporting. Everything is realtime except the SFTP. Reporting is available on request and has some scheduled/automated reports which are shared via SFTP in some cases and emailed out in other cases. Otherwise reports are also realtime.",Architecture and Hosting,30,A SaaS Co.,1,R03.3
30,30,31,"Describe your security model. [Please include your approach to authentication and authorization, encryption, and SSO.]","Portals:
Core Issuing admin and agent portals are publicly accessible and secured by HTTPS and passwords meeting PCI standards (Expires 90 days, length, special character requirements etc)
Core Acquiring admin and merchant portals are publicly accessible and secured by HTTPS and passwords. Passwords do not currenlty expire.
Legacy Portals are whitelisted by IP at server level and required password meeting PCI standards.
RPN portals have HTTPS and passwords with 2 factor authentication and device recognition.
APIs:
Core Issuing APIs are whitelisted by IP address at server and application level. Oauth tokens and API ""keys"" are required to be passed with each API call. A in app implementation of OAuth manages the tokens.
Core Acquiring APIs are whitelisted at the application level. Oauth tokens and merchant identifiers are required to be passed with each API call. A in app implementation of OAuth manages the tokens.
All external traffic using HTTPS TLS 1.2. There are internal network communications between apps that are unencrypted. These could be easily switched to encrypted as well.",Architecture and Hosting,31,A SaaS Co.,1,R03.3
31,31,32,Is system data encrypted in motion?,All external traffic using HTTPS TLS 1.2. There are internal network communications between apps that are unencrypted. These could be easily switched to encrypted as well.,Architecture and Hosting,32,A SaaS Co.,1,R03.3
32,32,33,Is system data encrypted at rest?,"Core Issuing and Acquiring:
Sensitive customer information like Card Number and SSN are encrypted by the application using 3DES. Encrypted string stored in DB columns. Passwords are stored using Spring Security with BCrypt algorithm.
Legacy:
Some sensitve customer information encrypted using Oracle crypto library with 3DES algorithm. Note some sensitive card data can still be found in other tables unencrypted. Password are stored using MD5
Logs mask or leave out any sensitive data",Architecture and Hosting,33,A SaaS Co.,1,R03.3
33,33,34,"Describe your data security/privacy requirements. [Does the system handle sensitive business, personal, healthcare or other confidential information?]",We do have annual audits and are using a system called Tugboat that allows us to meet all of our requriments in all areas of security and privacy.  This includes annual training for our employees as well as internal audits of our systems.  Our websites have the required security and privacy statements and are reviewed by the compliance team.,Architecture and Hosting,34,A SaaS Co.,1,R03.3
34,34,35,Are you required to comply with the California Consumer Privacy Act requirements? Have you met the requirements?,Yes we are required to comply with the California Consumer Privacy Act and we have met the requirements.,Architecture and Hosting,35,A SaaS Co.,1,R03.3
35,35,36,Are you required to comply with the General Data Protection Regulation requirements? Have you met the requirements?,I am not clear what this is.,Architecture and Hosting,36,A SaaS Co.,1,R03.3
36,36,37,"Is there anything non-conventional, unique, or truly custom in the architecture - where a known solution does not exist?",No,Architecture and Hosting,37,A SaaS Co.,1,R03.3
37,37,38,How do you onboard new Architecture team members?,This is done by our Systems Engineer in conjunction with our IT manager and all access is requested and managed through Tugboat.,Development Practices and Tooling,38,A SaaS Co.,1,R03.3
38,38,39,"Describe your Development Organization. [Org Chart, Roles, Responsibilities, Experience]","Director of Product works to put together a roadmap for delopment efforts and oversees timelines. There are two software development mangers, each managing two development teams. They are responsible to write up the stories, work with the development teams to get it developed and delivered for testing. They also oversee our two internal QA testers. Ultimately they sign off that the sprints are ready for production release after reviewing QA efforts. QA testers test through standard regression test cases and feature specific tests.",Development Practices and Tooling,39,A SaaS Co.,1,R03.3
39,39,40,Please provide a brief description of your current development process. Please include any associated process documentation and standards.,"Easier to discuss, but will also share the JIRA development workflow and change management workflow for context.",Development Practices and Tooling,40,A SaaS Co.,1,R03.3
40,40,41,Are security considerations addressed in the development process?,"Yes, the development teams are responsible to evaluate the code against the security checklists. Also, one is code checked in it is scanned by Github for vulnerabilities. Any major updates or vulnerabilities are typically scheduled into the sprints.",Development Practices and Tooling,41,A SaaS Co.,1,R03.3
41,41,42,When was the last change made to your development process?,"We just recently adjusted the Girmiti teams to be more accountable for their QA efforts. We also, just changed the Bansoft team to consider sandbox a ""Production"" level environment. Also, the workflows and change management processes are being simplified to cut overhead after working with and confirming the changes with the SOC and PCI auditors.",Development Practices and Tooling,42,A SaaS Co.,1,R03.3
